EdgeA,EdgeB,FamilyWeight,LanguageWeight,WordWeight
1531,383,1,1,1
1531,631,1,1,1
1531,773,1,1,1
1531,2133,1,1,1
1531,1848,1,1,1
1531,1202,1,1,1
1531,1507,1,1,1
1531,1604,1,1,1
1531,195,1,1,1
1531,628,3,3,3
1531,711,1,1,1
1531,806,1,1,1
1531,663,1,1,1
1531,1592,1,1,1
1531,344,2,4,4
1531,10,1,1,1
1531,1201,1,1,1
1531,409,13,43,45
1531,1409,1,1,1
1531,1785,1,1,1
1531,1394,2,2,2
1531,1227,1,1,1
1531,1455,2,2,2
1531,1753,1,1,1
1531,1098,1,1,1
1531,1040,1,1,1
1531,760,1,1,1
1531,310,1,1,1
1531,266,1,1,1
1531,1257,4,4,4
1531,666,2,2,2
1531,604,1,1,1
1531,1584,1,1,1
1531,1357,1,1,1
1531,723,1,1,1
1531,671,1,1,1
1531,239,1,1,1
925,1448,1,1,1
925,1392,1,1,1
925,1435,1,1,1
925,702,1,1,1
925,2021,1,1,1
925,1735,1,1,1
925,593,1,1,1
925,1632,1,1,1
925,319,1,1,1
925,1620,1,1,1
925,736,1,1,1
925,1252,1,1,1
925,407,4,4,4
925,586,1,1,1
1607,887,1,2,2
1607,1909,1,1,1
1607,1548,1,1,1
1607,82,4,6,6
1607,1705,1,1,1
1607,773,1,1,1
1607,1778,1,1,1
1607,484,1,1,1
1607,1973,1,1,1
1607,1992,1,1,1
1607,49,2,2,2
1607,239,1,1,1
1607,1432,1,1,1
1607,1409,1,1,1
1607,40,3,3,3
1607,1622,1,1,1
1607,44,1,1,1
1607,1109,1,1,1
1607,1091,1,1,2
1607,1479,1,1,1
1607,1387,1,1,1
1607,1396,1,1,1
1607,2118,1,1,1
1607,987,1,1,1
1607,1394,1,1,1
1607,755,1,1,1
1607,1398,1,1,1
1607,2133,1,1,1
1607,1292,1,1,1
1607,716,1,1,1
1607,234,1,1,1
681,845,1,1,1
681,1633,1,1,1
681,539,1,1,1
681,2138,1,1,1
681,357,1,1,1
681,1033,2,3,3
681,694,1,1,1
681,1528,1,1,1
681,299,1,1,1
681,1230,1,1,1
681,127,3,3,3
681,1417,2,2,2
681,1541,1,1,1
681,381,1,1,1
681,1421,1,1,1
681,44,12,17,17
681,1523,1,1,1
681,1487,1,1,1
681,884,2,2,2
681,1292,1,2,2
681,1513,1,1,1
681,1387,1,1,1
681,1481,1,1,1
681,1100,1,1,1
681,1456,2,2,2
681,1116,2,2,3
681,304,1,1,1
681,354,1,1,1
681,1548,1,1,1
681,1626,1,1,1
681,8,1,1,1
681,83,1,1,1
681,1521,1,1,1
681,155,2,2,2
681,1095,1,1,1
681,581,1,1,1
681,1704,1,1,1
681,1660,5,6,6
681,1407,1,1,1
681,646,1,1,1
681,1454,1,1,1
681,680,8,16,16
681,1766,3,3,3
681,1072,1,1,1
681,588,2,2,2
681,352,1,1,1
681,670,1,1,1
681,1121,1,1,1
681,38,2,3,3
681,2008,1,1,1
681,2133,1,1,1
681,748,1,1,1
681,1504,1,1,1
681,2021,1,1,1
681,953,1,1,1
681,1231,1,1,1
681,211,1,1,1
681,1452,1,1,1
681,719,1,1,1
681,1437,2,2,2
681,1449,2,6,6
681,1932,1,1,1
681,1749,1,1,1
681,1468,1,1,1
681,1156,1,1,1
681,1134,1,1,1
13,1234,1,1,1
13,2013,2,2,2
13,1792,7,8,8
13,101,1,1,1
13,1899,1,1,1
13,1564,1,1,1
13,1785,1,1,1
13,1293,1,1,1
13,1729,1,1,1
13,319,1,1,1
13,882,1,1,1
13,1075,1,1,1
13,1136,1,1,1
13,1227,1,1,1
13,601,14,31,35
13,1902,6,6,6
13,902,1,1,1
13,1572,1,1,2
13,1390,3,4,4
13,1536,1,1,1
13,627,1,1,1
13,1456,1,1,1
13,755,1,1,1
13,1543,1,1,1
13,1039,1,1,1
13,1102,1,1,1
13,1264,1,1,1
13,392,1,1,1
1422,619,2,2,2
1422,100,1,1,1
1422,978,1,1,1
1422,190,1,1,1
1422,1447,1,1,2
1422,204,1,1,1
1422,727,2,2,2
1422,1209,1,1,1
1422,1269,1,1,4
1422,479,2,2,2
1422,1498,1,1,1
1422,1561,1,1,2
1422,1958,1,1,1
1422,1215,1,1,1
1422,1006,1,1,1
1422,1675,1,1,1
1422,1565,1,1,2
1422,1548,1,1,1
1422,1883,1,1,2
1422,1733,1,1,2
1422,707,1,1,1
1422,1032,1,1,1
1422,383,1,1,2
1422,631,1,1,1
1422,773,1,1,1
1422,1443,2,2,2
1422,946,1,1,1
1422,2014,1,1,1
1422,1090,2,3,3
1422,1035,1,1,3
1422,345,1,1,1
1422,1579,2,2,3
1422,1186,2,2,2
1422,1631,1,1,1
1422,363,21,79,82
1422,996,1,1,1
1422,1415,1,1,1
1422,1944,1,1,2
1422,1789,2,7,7
1422,1228,1,1,1
1422,932,1,1,1
1422,923,1,1,1
1422,1364,4,8,8
1422,1778,1,1,1
1422,1442,2,2,2
1422,1816,1,1,2
1422,1087,1,1,1
1422,1280,1,1,1
1422,1287,1,1,1
1422,3,1,1,1
1422,1416,5,5,5
1422,348,1,1,1
1422,357,1,1,1
1422,1300,2,2,2
1422,210,7,8,8
1422,1602,2,2,2
1422,1380,2,2,2
1422,1458,1,1,1
1422,1494,1,1,1
1422,1200,1,1,1
1422,1399,1,1,1
1422,1480,1,1,1
1422,215,1,1,1
1422,1420,1,1,1
1422,1156,1,1,1
1422,930,1,1,1
1422,1387,1,1,1
1422,2575,2,2,3
1422,1803,1,1,1
1422,987,4,8,8
1422,1152,1,2,2
1422,965,1,1,1
1422,477,1,1,1
1422,643,1,1,2
1422,53,3,3,3
1422,492,1,1,1
1422,1562,1,1,1
1422,683,1,1,1
1422,1997,1,1,1
1422,1233,1,1,1
1422,1959,6,10,10
1422,1225,1,1,1
1422,695,2,2,2
1422,1620,1,1,1
1422,700,1,1,1
1422,1567,1,1,2
1422,1464,1,1,1
1422,1521,1,1,1
1422,1493,1,1,1
1422,717,1,1,1
1422,1644,1,1,1
1422,1236,2,2,2
1422,1216,1,1,1
1422,1825,1,1,1
1422,355,1,1,1
1422,789,1,1,1
1422,2146,1,1,1
1422,1202,1,1,1
1422,1376,1,1,1
1422,666,1,1,1
1422,804,1,1,1
