1399,1228,4,9,9
1399,1300,2,2,2
1399,626,4,5,5
1257,1040,1,1,1
1257,1201,3,3,4
1257,213,2,2,2
126,1232,1,1,1
126,1534,1,1,1
126,1286,1,1,1
602,1121,1,3,3
602,1719,1,1,1
1811,1307,1,1,1
1811,1363,5,10,10
924,1507,1,4,4
1227,281,1,1,1
1227,906,4,5,10
1227,1775,1,1,1
1227,1803,5,6,6
430,2004,1,2,3
430,1588,1,2,2
430,1445,1,1,2
430,827,1,1,1
430,1470,1,1,1
430,1113,2,2,2
430,297,4,5,7
430,121,1,1,1
585,1381,9,16,17
1174,1329,1,1,1
70,1906,1,1,1
70,1274,5,16,17
70,1091,7,28,30
70,887,1,1,1
641,908,1,1,1
408,1450,1,19,19
408,1678,1,6,6
408,403,1,7,7
408,1252,3,23,23
363,1422,1,14,14
363,210,1,1,1
1622,1616,1,1,1
1622,474,1,3,4
1622,603,2,5,5
1622,1600,1,1,1
1622,1895,4,6,6
1733,994,5,14,15
1733,977,1,1,1
1733,876,3,6,6
920,1048,1,1,1
920,343,1,1,1
17,1540,4,4,4
760,1917,1,1,1
759,1867,2,2,2
759,1559,5,6,6
1420,1506,1,1,1
773,684,1,1,1
1983,1853,1,2,2
241,344,3,4,4
241,1803,10,12,13
241,1763,1,1,1
241,281,3,3,3
241,906,13,22,44
241,10,1,1,1
1819,1409,1,1,1
1132,829,2,2,2
1143,859,3,4,4
733,1749,2,6,7
733,700,1,4,5
733,414,1,1,1
733,694,4,7,8
420,906,6,7,12
420,10,1,3,3
420,1803,3,8,9
2007,1654,10,28,29
2007,1150,3,7,7
952,1225,1,1,1
952,1260,1,1,1
952,892,2,2,2
706,163,3,3,3
706,11,5,10,10
706,1764,1,1,1
796,154,4,5,5
796,1402,15,35,38
796,1592,1,3,3
796,635,1,1,1
655,1372,7,17,18
655,348,1,1,1
655,1463,1,1,1
1203,1753,1,1,1
1413,1879,1,1,1
1160,713,10,14,14
1326,1485,2,2,2
1326,721,1,1,1
897,319,1,1,1
897,1401,1,1,1
192,981,1,1,1
1699,1700,1,2,2
1699,1469,10,26,28
1699,1704,1,1,1
1032,194,1,1,1
1032,505,1,1,1
1032,302,1,1,4
1032,789,4,4,8
1032,683,4,24,28
1538,1974,1,1,1
1538,238,1,1,1
1068,1818,5,5,5
1068,1067,3,3,3
1068,861,3,3,3
1654,1150,4,4,4
1654,2007,3,3,3
1756,1981,6,7,7
1920,1585,1,1,1
743,742,7,9,9
743,1766,2,3,3
743,1529,2,2,2
211,2575,3,4,4
211,1487,6,28,31
211,289,1,1,1
1338,258,4,6,6
1338,48,2,2,2
1338,1314,5,9,10
1576,501,1,1,1
1576,1750,1,1,1
1576,7,4,4,4
1576,371,2,2,2
1664,1970,1,1,1
88,665,18,61,64
88,717,1,1,1
88,942,8,9,10
88,862,2,2,2
88,874,2,2,2
88,1517,5,5,5
1293,1390,7,11,12
1293,161,3,5,5
1293,134,4,9,9
785,1884,3,11,12
785,377,1,2,2
225,224,12,20,22
265,1511,2,14,14
265,1514,3,19,20
265,1318,6,10,11
265,937,6,10,10
269,792,2,4,4
269,1100,5,10,10
627,358,1,1,1
627,621,2,2,2
259,978,10,15,15
259,1923,1,1,1
76,1366,7,14,15
76,1801,1,1,1
76,1304,2,2,2
76,1207,12,33,34
76,1646,1,1,1
76,1620,5,12,13
708,250,4,8,10
708,989,1,1,1
708,630,9,43,47
708,679,6,12,15
1232,126,1,1,1
1232,1534,1,1,1
1232,1286,9,11,12
1871,1862,1,1,1
1871,890,1,1,1
782,783,4,4,5
123,1560,3,4,5
1450,1252,4,8,8
1450,408,1,1,1
1779,3,3,13,16
245,230,9,17,18
245,1454,1,1,1
1058,1059,6,6,6
1914,1081,1,1,1
1914,369,3,4,4
1725,1404,2,4,4
1725,100,1,1,1
1725,1657,1,1,1
1092,1784,2,2,2
1075,388,1,1,1
1434,1418,1,1,1
1434,1501,1,1,1
223,736,1,2,2
223,1690,1,1,1
223,851,1,1,1
631,619,9,24,25
631,1989,1,2,2
631,1007,1,1,1
631,1153,4,9,9
1808,1728,1,1,1
1173,17,2,2,2
1173,1540,3,4,4
360,1971,5,9,10
360,175,2,2,2
2138,1175,2,2,2
2138,53,1,1,1
1877,1339,1,1,1
1877,729,1,1,1
1385,919,7,9,10
1220,1222,1,1,1
2139,1768,1,1,1
325,964,1,1,1
325,580,1,1,1
781,1810,1,1,1
781,1572,1,1,1
781,1000,1,1,1
688,1052,2,2,2
355,1432,4,12,15
355,228,1,1,1
355,155,3,7,9
355,190,2,2,2
355,680,1,1,1
2135,1264,5,6,6
1151,1616,1,1,1
1151,332,1,1,1
1478,1240,1,1,1
1478,1269,1,1,1
1069,948,3,3,3
892,691,2,3,3
892,1343,1,1,1
1309,1828,2,4,4
767,1494,10,10,10
767,1480,4,5,5
2130,1680,2,3,3
2130,330,1,2,2
1442,1928,2,4,7
134,1293,3,7,8
134,161,1,3,3
134,381,1,1,1
134,1292,1,2,2
134,1390,4,16,16
134,1682,3,4,4
505,683,2,2,2
1948,1432,2,2,3
768,1833,3,3,4
768,2013,2,2,2
768,1322,5,5,5
768,1526,17,26,26
768,1336,4,5,5
768,256,12,18,18
1415,1932,1,1,1
1415,1841,1,1,1
1415,1513,2,2,2
736,762,1,1,1
736,933,1,1,1
605,714,3,6,6
605,926,1,2,2
605,932,1,1,1
605,23,1,1,1
605,611,2,5,5
605,506,1,1,1
757,760,1,1,1
687,1240,1,1,1
687,1478,1,1,1
687,1269,1,1,1
218,390,5,7,8
1342,1537,1,1,1
1342,1226,2,2,2
53,1175,1,1,1
53,1388,2,3,3
53,1223,2,2,2
1668,1000,2,2,2
1668,1875,3,3,3
1668,1141,2,2,2
1475,1821,1,4,4
1161,1048,1,2,2
1161,1850,2,2,2
1161,1218,1,1,1
914,359,1,2,2
914,1001,1,1,2
1113,430,1,1,1
1113,1470,1,1,1
1113,827,1,3,3
1100,178,1,1,1
1100,269,4,4,4
674,478,1,1,1
44,681,1,1,1
1471,102,1,1,1
1471,1287,6,13,13
1548,1292,7,9,9
859,185,2,3,3
859,1143,1,2,2
352,1095,2,2,3
352,1156,2,2,2
409,1531,8,30,31
2009,1966,1,1,1
672,1329,5,6,6
672,1339,6,6,6
987,363,1,1,1
987,838,1,1,1
987,1416,1,3,3
1090,1152,3,6,7
1090,1087,1,1,1
493,1277,3,3,3
913,1905,1,1,1
1095,988,1,1,1
1095,1156,1,1,1
1095,352,1,2,2
1095,1003,3,6,6
1079,1408,2,2,2
1079,1410,2,2,2
1079,1536,1,2,2
1079,1892,1,1,1
178,269,1,1,1
178,790,1,1,1
178,1100,1,1,1
765,2017,1,1,1
667,2252,2,2,2
1497,963,1,1,1
1497,1612,1,1,1
1497,167,2,2,2
1128,1127,4,4,4
1128,1846,5,5,5
1351,1337,19,68,69
1351,1348,4,13,13
956,421,1,1,1
956,2003,1,1,1
956,1519,7,12,12
1408,1608,3,6,7
1408,1079,1,1,1
11,163,3,4,4
11,1764,2,5,6
11,706,4,16,18
2255,2257,2,3,3
2255,2254,1,1,1
2255,2256,2,3,3
2255,306,1,1,1
2255,2267,1,1,1
1539,1075,1,1,1
1963,1376,12,15,15
1963,754,2,2,2
1963,1631,5,7,7
1963,703,3,3,3
1963,1283,4,5,5
194,505,1,1,1
194,1332,2,2,2
194,302,1,1,4
194,1644,1,1,1
194,1032,1,1,1
194,683,2,2,5
194,789,1,1,4
1686,1685,5,6,7
1178,1221,23,78,79
1178,73,3,3,3
1178,1662,1,2,2
1817,1233,1,1,1
1817,1629,2,2,2
1427,1364,2,2,2
1427,1035,7,15,15
1427,1495,1,1,1
329,585,1,1,1
329,1381,5,5,5
1437,588,1,1,1
1437,155,3,3,3
1437,680,1,1,1
1437,1735,1,2,2
980,1681,2,2,2
980,498,1,1,1
980,318,2,2,2
980,1297,5,8,8
980,1745,1,1,1
980,1301,11,22,22
980,809,1,1,1
1752,695,5,19,21
1752,1443,3,7,8
1752,1107,2,4,4
858,27,6,7,8
858,1407,1,1,1
858,960,14,29,29
2267,2255,1,1,1
2267,2254,1,1,1
2267,1060,1,2,2
2267,2256,1,1,1
2267,2266,1,1,1
1513,1932,1,2,2
1513,1415,3,5,5
285,354,3,3,3
285,2133,6,10,11
285,1456,1,1,1
285,1481,1,1,1
255,812,2,2,2
485,1660,2,2,2
1172,2133,3,5,5
1172,1456,2,3,3
965,1399,1,1,1
965,1228,5,5,5
965,1632,2,2,2
965,166,1,1,1
965,1300,4,4,4
965,626,5,5,5
1870,1928,1,1,1
1000,1668,1,1,1
1000,781,1,2,2
292,806,2,4,4
292,195,2,2,2
