1007,COW,24
1008,BULL,24
1336,EAT,25
1526,MEAL,25
1833,DINNER (SUPPER),25
256,FOOD,25
1322,BREAKFAST,25
768,LUNCH,25
161,MISS (A TARGET),26
134,FAULT,26
1293,MISTAKE,26
1814,ACCUSE,26
1682,GUILTY,26
1390,WRONG,26
1034,DEFENDANT,26
1066,CRIME,26
381,BLAME,26
2260,FEMALE (OF PERSON),27
426,MARRIED WOMAN,27
962,WOMAN,27
1199,WIFE,27
2262,FEMALE (OF ANIMAL),27
1551,FEMALE,27
705,GO UP (ASCEND),28
1602,WAKE UP,28
568,RISE (MOVE UPWARDS),28
367,RIDE,28
1102,CLIMB,28
194,FAMILY,29
1325,FRIEND,29
683,PERSON,29
384,FREEMAN,29
505,PARENTS,29
1332,NEIGHBOUR,29
789,PEOPLE,29
1644,RELATIVES,29
1032,CITIZEN,29
302,CLAN,29
800,THIGH,30
318,FOOTPRINT,30
803,ANKLE,30
498,CALF OF LEG,30
980,HEEL,30
809,TROUSERS,30
1297,LEG,30
1301,FOOT,30
296,CROUCH,31
363,DWELL (LIVE,31
1416,SIT,31
1990,BECOME,31
210,LIFE,31
1422,BE ALIVE,31
987,REMAIN,31
1579,BE,31
271,SAUCER,32
481,DISH,32
1530,BOWL,32
480,PLATE,32
476,CUP,32
342,HAY,33
586,GARDEN,33
652,PLAIN,33
649,PASTURE,33
606,GRASS,33
921,VALLEY,33
212,FIELD,33
989,CLEAR,34
708,SHINE,34
679,BRIGHT,34
630,LIGHT (RADIATION),34
1335,WHITE,34
250,LIGHT (COLOR),34
1766,FINISH,35
1928,CEASE,35
1870,ANCHOR,35
742,END (OF SPACE),35
743,END (OF TIME),35
1442,STAND,35
1529,LAST (FINAL),35
343,VINE,36
19,FISHING LINE,36
920,GRAPE,36
340,LASSO,36
1048,LINE,36
1379,TELEPHONE,36
1161,THREAD,36
1850,COTTON,36
1641,SILK,36
1218,ROPE,36
1944,GOD,37
815,GOVERNMENT,37
383,MASTER,37
899,PRESIDENT,37
1545,HOST,37
486,MINISTER,37
1508,KING,37
301,CHIEFTAIN,37
1306,QUEEN,37
712,RICH,37
1812,TRY,38
1506,MEASURE,38
1420,COUNT,38
117,IMITATE,38
21,TASTE (SOMETHING),38
1098,WEIGH,38
357,HANG UP,38
1587,SMELL (STINK),39
1808,PUS,39
1728,ROTTEN,39
376,FRAGRANT,39
42,STINKING,39
1586,SMELL (PERCEIVE),39
375,SNIFF,39
1729,PLAIT OR BRAID OR WEAVE,40
333,PLAIT,40
1457,SEW,40
133,WEAVE,40
113,SHORE,41
863,EDGE,41
682,SIDE,41
801,RIB,41
671,SAND,41
1942,NEAR,41
1010,BOUNDARY,41
1816,BESIDE,41
1726,WET,42
1425,GREEN,42
837,BLUE,42
1959,RAW,42
1958,UNRIPE,42
1764,OBSCURE,43
1233,NIGHT,43
163,BLACK,43
11,DARKNESS,43
1629,EVENING,43
706,DARK,43
963,BOOK,44
1298,NEWSPAPER,44
1612,LETTER,44
167,MAIL,44
1497,POSTCARD,44
397,BIRTH CERTIFICATE,44
648,PAPER,44
1221,NOSE,45
478,LIP,45
674,MOUTH,45
73,BEAK,45
1178,NOSTRIL,45
1380,TOOTH,45
1049,MOLAR TOOTH,45
1662,CAPE,45
1443,WALK,46
1107,GO OUT,46
1194,BEAVER,46
1752,LEAVE,46
695,GO,46
1841,SUSPECT,47
1513,THINK (BELIEVE),47
707,REMEMBER,47
1308,DOUBT,47
1415,THINK (REFLECT),47
1932,GUESS,47
408,MEN'S HOUSE,48
1450,ROOM,48
403,GARDEN-HOUSE,48
1252,HOUSE,48
1316,TENT,48
1678,HUT,48
988,ACQUIT,49
391,BLESS,49
1523,FORGET,49
1156,OPEN,49
37,LIBERATE,49
352,UNTIE,49
1095,LET GO OR SET FREE,49
1003,PERMIT,49
1528,FORGIVE,49
878,HELL,50
59,ELECTRICITY,50
221,FIRE,50
32,EARWAX,50
1273,CANDLE,50
1133,MATCH,50
1931,BEESWAX,50
889,FLAME,50
2131,TORCH OR LAMP,50
786,SAILCLOTH,50
1619,GRANDDAUGHTER,51
173,SIBLING'S CHILD,51
1618,GRANDSON,51
1063,NEPHEW,51
1642,NIECE,51
1617,GRANDCHILD,51
1926,OINTMENT,52
1154,OLIVE,52
1484,OIL (ORGANIC SUBSTANCE),52
650,PETROLEUM,52
1245,BUTTER,52
323,FAT (ORGANIC SUBSTANCE),52
737,LIGHT (IGNITE),53
141,BURN (SOMETHING),53
1428,BURNING,53
2146,ROAST OR FRY,53
183,BAKE,53
1889,ARSON,53
164,KANGAROO,53
154,UDDER,54
796,NIPPLE,54
1592,CHEST,54
1402,BREAST,54
635,MILK,54
900,TRAIN,55
1731,MORTAR BINDER,55
122,CART,55
836,SCREWDRIVER,55
110,MOTOR,55
638,MOTORCYCLE,55
144,MACHINE,55
1070,BUS,55
1111,CAR,55
1283,TODAY,56
703,SOON,56
1376,NOW,56
754,HURRY,56
1631,FAST,56
1963,IMMEDIATELY,56
1318,CHICKEN,57
1511,ROOSTER,57
937,BIRD,57
1514,HEN,57
265,FOWL,57
1409,SEE,58
1831,MEET,58
719,FIND,58
1819,LOOK,58
1452,PUSH,59
1033,GRIND,59
1414,SQUEEZE,59
86,SIEVE,59
378,PINCH,59
93,DRAW MILK,59
1913,PRESS,59
710,WHEEL,60
1467,CIRCLE,60
1395,ROUND,60
747,BICYCLE,60
2019,HAMMOCK,60
1845,BALL,60
1541,CULTIVATE,61
979,FARMER,61
1921,PLOUGH,61
748,SOW SEEDS,61
1486,PLANT (SOMETHING),61
1940,GUARD,62
499,CURE,62
